Timestamp:,Traffic Conflict:,Intersections:,Left turn:,,,
00:00-00:04,,1,,,,
00:07-00:13,1,,,,,
00:16-00:22,,1,,,,
00:20-00:22,1,,,,,
00:37-00:55,,1,,,,
01:04-01:15,,1,,,,
01:10-01:15,,,1,,,
01:21-01:22,1,,,,,
01:30-01:36,,1,,,,
01:50-02:30,,1,,,,
01:50-02:30,,,1,,,
02:43-03:03,,1,,,,
02:58-03:03,,,1,,,
03:16-03:25,,1,,,,
03:21-03:25,,,1,,,
03:35-03:39,,1,,,,
03:49-03:57,,1,,,,
03:52-03:57,,,1,,,
04:13-04:26,1,,,,,
04:28-04:39,,1,,,,
04:48-05:30,,1,,,,
05:36-05:43,,1,,,,
05:54-06:04,,1,,,,
06:19-06:30,,1,,,,
06:50-07:02,,1,,,,
06:56-07:02,,,1,,,
07:21-07:27,,1,,,,
08:42-08:49,,1,,,,
09:31-09:38,,1,,,,
09:44-09:50,1,,,,,
10:00-10:33,,1,,,,
10:54-11:02,,1,,,,
11:05-11:07,1,,,,,
11:29-11:41,,1,,,,
11:35-11:41,,1,,,,
11:54-11:56,1,,,,,
12:08-12:26,,1,,,,
12:21-12:26,,,1,,,
12:53-13:00,,1,,,,
13:25-13:43,,1,,,,
14:36-14:45,,1,,,,
